epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,38.0807,1.06732,1.3081,2.14923,0.09556,0.97146,1,0.995,0.995,0.31396,0.66671,0.92727,0.01323,0.00095055,0.00095055,0.00095055
39,38.9102,1.00021,1.18072,1.94078,0.08981,0.97068,1,0.995,0.8955,0.4546,0.7208,1.11559,0.04408,0.000960652,0.000960652,0.000960652
40,39.6841,0.89937,1.19337,1.70966,0.06439,0.97068,1,0.995,0.8955,0.4546,0.7208,1.11559,0.04408,0.000969962,0.000969962,0.000969962
41,40.5055,1.04088,1.22176,1.83096,0.09773,0.97155,1,0.995,0.8955,0.4201,0.62508,1.00428,0.03162,0.00097848,0.00097848,0.00097848
42,41.307,0.92043,0.99867,1.75794,0.09693,0.97101,1,0.995,0.995,0.36198,0.5947,0.92727,0.01353,0.000986206,0.000986206,0.000986206
43,42.1326,0.84947,1.08245,1.72412,0.06443,0.97101,1,0.995,0.995,0.36198,0.5947,0.92727,0.01353,0.00099314,0.00099314,0.00099314
44,42.9354,0.91713,1.14183,1.93593,0.07061,0.97075,1,0.995,0.8955,0.42725,0.57954,1.09553,0.0311,0.000999282,0.000999282,0.000999282
45,43.7157,0.80833,0.94671,1.78462,0.03644,0.97075,1,0.995,0.8955,0.42725,0.57954,1.09553,0.0311,0.00100463,0.00100463,0.00100463
46,44.5052,0.79392,0.88501,1.57644,0.09102,0.9711,1,0.995,0.8955,0.44445,0.59262,1.04684,0.08285,0.00100919,0.00100919,0.00100919
47,45.3029,0.8776,0.97255,1.78477,0.07548,0.9711,1,0.995,0.8955,0.44445,0.59262,1.04684,0.08285,0.00101296,0.00101296,0.00101296
48,46.0947,0.79183,0.88177,1.6373,0.08787,0.97201,1,0.995,0.8955,0.45638,0.59124,1.10247,0.05846,0.00101593,0.00101593,0.00101593
49,46.8796,0.8639,0.86668,1.67155,0.04456,0.97201,1,0.995,0.8955,0.45638,0.59124,1.10247,0.05846,0.00101811,0.00101811,0.00101811
50,47.6704,0.81197,0.86268,1.81336,0.06801,0.9731,1,0.995,0.8955,0.44901,0.4737,1.06614,0.02221,0.0010195,0.0010195,0.0010195
51,48.43,0.89889,0.89934,1.90367,0.10284,0.9731,1,0.995,0.8955,0.44901,0.4737,1.06614,0.02221,0.00101,0.00101,0.00101
52,49.3805,0.84007,0.89799,1.7683,0.07668,1,1,0.995,0.8955,0.48469,0.38007,1.26423,0.00712,0.0009902,0.0009902,0.0009902
53,50.2301,0.94024,0.84525,1.91306,0.09967,1,1,0.995,0.8955,0.48469,0.38007,1.26423,0.00712,0.0009704,0.0009704,0.0009704
54,51.0227,0.80278,0.96025,1.69459,0.04849,1,1,0.995,0.8955,0.53765,0.45369,1.4176,0.01206,0.0009506,0.0009506,0.0009506
55,51.7884,0.87775,0.89005,1.73673,0.07368,1,1,0.995,0.8955,0.53765,0.45369,1.4176,0.01206,0.0009308,0.0009308,0.0009308
56,52.6101,0.71392,0.78564,1.48713,0.03074,1,1,0.995,0.8955,0.56216,0.45121,1.39409,0.03121,0.000911,0.000911,0.000911
57,53.4429,0.87957,0.86968,1.74106,0.06779,1,1,0.995,0.8955,0.56216,0.45121,1.39409,0.03121,0.0008912,0.0008912,0.0008912
58,54.2503,0.81796,0.83382,1.74048,0.0873,1,1,0.995,0.8955,0.49005,0.43257,1.1934,0.02162,0.0008714,0.0008714,0.0008714
59,55.0302,0.8141,0.83999,1.74316,0.04903,1,1,0.995,0.8955,0.49005,0.43257,1.1934,0.02162,0.0008516,0.0008516,0.0008516
60,55.8528,0.845,0.84479,1.71495,0.06448,1,1,0.995,0.8955,0.3907,0.35949,0.99617,0.01262,0.0008318,0.0008318,0.0008318
61,56.6702,0.98845,0.98027,2.08909,0.11954,1,1,0.995,0.8955,0.3907,0.35949,0.99617,0.01262,0.000812,0.000812,0.000812
62,57.4709,0.85315,0.85314,1.73048,0.04566,1,1,0.995,0.8955,0.42043,0.33616,1.02097,0.02215,0.0007922,0.0007922,0.0007922
63,58.2452,0.80305,0.78765,1.66863,0.06505,1,1,0.995,0.8955,0.42043,0.33616,1.02097,0.02215,0.0007724,0.0007724,0.0007724
64,59.0229,0.81763,0.75912,1.54286,0.06005,1,1,0.995,0.8955,0.43133,0.32868,1.02036,0.0329,0.0007526,0.0007526,0.0007526
65,59.8227,0.87643,0.82183,1.69104,0.07045,1,1,0.995,0.8955,0.43133,0.32868,1.02036,0.0329,0.0007328,0.0007328,0.0007328
66,60.6537,0.99328,0.8785,1.84663,0.07824,1,1,0.995,0.8955,0.3705,0.3115,0.90326,0.0294,0.000713,0.000713,0.000713
67,61.4668,0.80583,0.75428,1.55861,0.04589,1,1,0.995,0.8955,0.3705,0.3115,0.90326,0.0294,0.0006932,0.0006932,0.0006932
68,62.3002,0.8877,0.89628,1.68863,0.05965,1,1,0.995,0.995,0.31568,0.27792,0.84805,0.01857,0.0006734,0.0006734,0.0006734
69,63.1403,0.81077,0.77048,1.6129,0.07948,1,1,0.995,0.995,0.31568,0.27792,0.84805,0.01857,0.0006536,0.0006536,0.0006536
70,63.9601,0.81095,0.9064,1.62451,0.08015,1,1,0.995,0.995,0.27995,0.25113,0.82508,0.01363,0.0006338,0.0006338,0.0006338
71,64.7697,0.78937,0.77401,1.60884,0.09844,1,1,0.995,0.995,0.27995,0.25113,0.82508,0.01363,0.000614,0.000614,0.000614
72,65.6007,0.81031,0.74954,1.59128,0.066,1,1,0.995,0.995,0.35023,0.28694,0.92663,0.00941,0.0005942,0.0005942,0.0005942
73,66.4201,1.11973,0.99299,1.89703,0.1177,1,1,0.995,0.995,0.35023,0.28694,0.92663,0.00941,0.0005744,0.0005744,0.0005744
74,67.2402,0.79536,0.68434,1.52909,0.08843,1,1,0.995,0.8955,0.47532,0.26794,1.11139,0.00596,0.0005546,0.0005546,0.0005546
75,68.0201,0.73332,0.77135,1.51398,0.06469,1,1,0.995,0.8955,0.47532,0.26794,1.11139,0.00596,0.0005348,0.0005348,0.0005348
76,68.8485,0.98333,0.83759,1.72359,0.08372,1,1,0.995,0.8955,0.53285,0.2704,1.22406,0.00509,0.000515,0.000515,0.000515
77,69.6501,0.95111,0.86095,1.77101,0.05502,1,1,0.995,0.8955,0.53285,0.2704,1.22406,0.00509,0.0004952,0.0004952,0.0004952
78,70.4804,0.67959,0.69292,1.43132,0.02741,1,1,0.995,0.8955,0.50228,0.27572,1.19002,0.00572,0.0004754,0.0004754,0.0004754
79,71.2937,0.88534,0.77188,1.68834,0.08493,1,1,0.995,0.8955,0.50228,0.27572,1.19002,0.00572,0.0004556,0.0004556,0.0004556
80,72.0899,0.72248,0.81292,1.62284,0.05362,1,1,0.995,0.8955,0.4027,0.26367,1.06145,0.00675,0.0004358,0.0004358,0.0004358
81,72.8802,0.76587,0.69592,1.50236,0.03468,1,1,0.995,0.8955,0.4027,0.26367,1.06145,0.00675,0.000416,0.000416,0.000416
82,73.6852,0.88897,0.86142,1.69269,0.08194,1,1,0.995,0.995,0.35829,0.25683,0.99601,0.00814,0.0003962,0.0003962,0.0003962
83,74.5044,0.87344,0.84826,1.68708,0.07193,1,1,0.995,0.995,0.35829,0.25683,0.99601,0.00814,0.0003764,0.0003764,0.0003764
84,75.3544,0.78561,0.81219,1.63978,0.08582,1,1,0.995,0.995,0.38247,0.24392,1.04567,0.00576,0.0003566,0.0003566,0.0003566
85,76.2005,0.69105,0.68424,1.55481,0.04461,1,1,0.995,0.995,0.38247,0.24392,1.04567,0.00576,0.0003368,0.0003368,0.0003368
86,77.0502,0.76111,0.76561,1.5556,0.06988,1,1,0.995,0.8955,0.47231,0.24035,1.23561,0.00167,0.000317,0.000317,0.000317
87,77.8744,0.6497,0.69565,1.40514,0.04028,1,1,0.995,0.8955,0.47231,0.24035,1.23561,0.00167,0.0002972,0.0002972,0.0002972
88,78.6754,0.80054,0.70625,1.69521,0.07068,1,1,0.995,0.8955,0.54277,0.25796,1.40262,0.00352,0.0002774,0.0002774,0.0002774
89,79.4602,0.65196,0.6384,1.55458,0.05715,1,1,0.995,0.8955,0.54277,0.25796,1.40262,0.00352,0.0002576,0.0002576,0.0002576
90,80.3399,0.95282,0.82704,1.73153,0.06257,1,1,0.995,0.8955,0.55057,0.25269,1.40891,0.00724,0.0002378,0.0002378,0.0002378
91,109.4,0.51614,0.78893,1.39953,0.05705,1,1,0.995,0.8955,0.55057,0.25269,1.40891,0.00724,0.000218,0.000218,0.000218
92,110.361,0.45053,0.70155,1.30251,0.02839,1,1,0.995,0.8955,0.52783,0.23524,1.32963,0.00922,0.0001982,0.0001982,0.0001982
93,111.17,0.60076,0.82742,1.65353,0.08886,1,1,0.995,0.8955,0.52783,0.23524,1.32963,0.00922,0.0001784,0.0001784,0.0001784
94,111.97,0.57278,0.74514,1.50348,0.05078,1,1,0.995,0.8955,0.50605,0.23163,1.25123,0.0094,0.0001586,0.0001586,0.0001586
95,112.791,0.48458,0.69407,1.4239,0.01446,1,1,0.995,0.8955,0.50605,0.23163,1.25123,0.0094,0.0001388,0.0001388,0.0001388
96,113.59,0.53524,0.79998,1.44155,0.06602,1,1,0.995,0.8955,0.48386,0.22897,1.18776,0.0094,0.000119,0.000119,0.000119
97,114.431,0.374,0.61613,1.32527,0.02261,1,1,0.995,0.8955,0.48386,0.22897,1.18776,0.0094,9.92e-05,9.92e-05,9.92e-05
98,115.29,0.43581,0.63832,1.36006,0.03326,1,1,0.995,0.8955,0.47187,0.22389,1.15618,0.0083,7.94e-05,7.94e-05,7.94e-05
99,116.09,0.37459,0.68539,1.34063,0.01698,1,1,0.995,0.8955,0.47187,0.22389,1.15618,0.0083,5.96e-05,5.96e-05,5.96e-05
100,116.885,0.4006,0.69749,1.36203,0.02292,1,1,0.995,0.8955,0.46636,0.21844,1.14998,0.00671,3.98e-05,3.98e-05,3.98e-05
