epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,525.54,0.67188,0.45125,1.23704,0.03305,0.99403,0.99842,0.99496,0.85739,0.46513,0.28201,1.11142,0.00665,0.000919704,0.000919704,0.000919704
38,541.754,0.65587,0.43789,1.20174,0.02977,0.99244,0.99946,0.99486,0.8752,0.4627,0.28638,1.10639,0.00718,0.000905557,0.000905557,0.000905557
39,557.45,0.67557,0.45152,1.22988,0.03203,0.99193,0.99834,0.99468,0.87641,0.4661,0.26001,1.1129,0.00565,0.00089141,0.00089141,0.00089141
40,572.6,0.6562,0.44217,1.21894,0.03289,0.99497,0.99615,0.995,0.87219,0.46755,0.27856,1.10583,0.00887,0.000877263,0.000877263,0.000877263
41,587.535,0.68688,0.46318,1.23586,0.03156,0.98719,0.99341,0.99475,0.87811,0.45427,0.2887,1.08048,0.00572,0.000863116,0.000863116,0.000863116
42,602.317,0.66267,0.44239,1.22851,0.02975,0.99883,0.99927,0.995,0.87321,0.46932,0.27093,1.13007,0.00829,0.000848969,0.000848969,0.000848969
43,618.35,0.66656,0.44242,1.22764,0.02934,0.99208,1,0.99484,0.87858,0.46441,0.26903,1.09902,0.00631,0.000834822,0.000834822,0.000834822
44,635.724,0.63443,0.4277,1.18525,0.0289,0.99225,0.98765,0.99473,0.86333,0.49252,0.30159,1.11993,0.00718,0.000820675,0.000820675,0.000820675
45,653.517,0.62444,0.41941,1.17923,0.02692,0.99259,1,0.99495,0.87475,0.46537,0.28946,1.08985,0.00629,0.000806528,0.000806528,0.000806528
46,669.106,0.63975,0.43269,1.19154,0.02896,0.99796,0.99372,0.99495,0.86662,0.50352,0.28516,1.13023,0.00769,0.00079238,0.00079238,0.00079238
47,683.629,0.64172,0.42711,1.19974,0.03004,0.99547,0.99514,0.99167,0.87166,0.48825,0.27785,1.12383,0.00744,0.000778233,0.000778233,0.000778233
48,698.079,0.63594,0.41605,1.19993,0.0277,0.99874,0.99884,0.995,0.87456,0.44983,0.25711,1.10678,0.0062,0.000764086,0.000764086,0.000764086
49,712.404,0.62656,0.4145,1.18176,0.02721,0.99723,0.99917,0.995,0.86823,0.48543,0.26581,1.12204,0.00643,0.000749939,0.000749939,0.000749939
50,726.841,0.63653,0.43221,1.20032,0.02712,1,0.9993,0.995,0.86244,0.4702,0.27457,1.10945,0.00794,0.000735792,0.000735792,0.000735792
51,742.166,0.62942,0.4224,1.18,0.0276,0.99753,0.99811,0.995,0.87702,0.44697,0.26924,1.0821,0.00726,0.000721645,0.000721645,0.000721645
52,759.527,0.61176,0.4143,1.16115,0.02444,0.99506,0.9997,0.995,0.86963,0.46205,0.25926,1.1064,0.00651,0.000707498,0.000707498,0.000707498
53,775.449,0.60854,0.4076,1.17674,0.02636,0.99901,0.99916,0.995,0.87257,0.46541,0.26876,1.07931,0.00536,0.000693351,0.000693351,0.000693351
54,791.239,0.61516,0.40757,1.17274,0.02397,0.99978,0.99888,0.995,0.87976,0.44914,0.26037,1.09114,0.00552,0.000679204,0.000679204,0.000679204
55,805.747,0.61177,0.41076,1.17864,0.026,0.99792,0.99962,0.995,0.88291,0.45333,0.25272,1.07986,0.00613,0.000665057,0.000665057,0.000665057
56,819.592,0.60584,0.40295,1.17333,0.02748,0.99922,0.9999,0.995,0.87245,0.44638,0.25055,1.0753,0.00559,0.000650909,0.000650909,0.000650909
57,833.287,0.60735,0.40622,1.16868,0.02527,0.99958,0.9998,0.995,0.88823,0.42755,0.23936,1.06701,0.00592,0.000636762,0.000636762,0.000636762
58,847.024,0.58549,0.39092,1.14542,0.02379,0.99832,0.99956,0.995,0.88188,0.42851,0.24447,1.07009,0.00503,0.000622615,0.000622615,0.000622615
59,860.681,0.59582,0.40423,1.15274,0.02412,0.99913,0.99829,0.995,0.88177,0.44492,0.24943,1.0925,0.00496,0.000608468,0.000608468,0.000608468
60,874.391,0.59666,0.39902,1.16857,0.0219,0.99574,0.99642,0.99496,0.87766,0.46205,0.25844,1.09737,0.00515,0.000594321,0.000594321,0.000594321
61,888.213,0.5837,0.39416,1.14047,0.02342,0.9992,0.9972,0.995,0.87407,0.45009,0.25196,1.09082,0.0049,0.000580174,0.000580174,0.000580174
62,901.92,0.58712,0.39194,1.14246,0.02477,0.99928,0.99804,0.995,0.88118,0.42108,0.24113,1.05302,0.00488,0.000566027,0.000566027,0.000566027
63,915.675,0.58494,0.38808,1.15003,0.02471,0.99946,0.99955,0.995,0.8783,0.44386,0.25067,1.09889,0.0052,0.00055188,0.00055188,0.00055188
64,929.463,0.58398,0.38744,1.13874,0.02327,0.99905,0.99781,0.995,0.88118,0.45507,0.25052,1.07614,0.00531,0.000537733,0.000537733,0.000537733
65,943.302,0.58064,0.38844,1.148,0.02352,0.99912,1,0.995,0.8839,0.45085,0.24637,1.07621,0.00578,0.000523586,0.000523586,0.000523586
66,957.114,0.57373,0.38902,1.14407,0.02436,0.99921,1,0.995,0.87663,0.44557,0.25275,1.0957,0.00563,0.000509438,0.000509438,0.000509438
67,970.928,0.56547,0.37289,1.13897,0.02101,0.99901,1,0.995,0.87657,0.44643,0.24752,1.09429,0.00461,0.000495291,0.000495291,0.000495291
68,984.752,0.56271,0.37697,1.13384,0.01949,0.99803,0.99762,0.995,0.8753,0.42859,0.23922,1.07783,0.00427,0.000481144,0.000481144,0.000481144
69,998.606,0.56968,0.38082,1.14035,0.02207,0.99881,0.99959,0.995,0.87935,0.42447,0.24026,1.06577,0.00546,0.000466997,0.000466997,0.000466997
70,1012.82,0.55554,0.37055,1.12429,0.02222,0.99767,0.99759,0.995,0.87107,0.44309,0.25277,1.08252,0.00618,0.00045285,0.00045285,0.00045285
71,1028.15,0.54606,0.36911,1.1188,0.01795,0.99719,0.9998,0.995,0.87852,0.43373,0.24338,1.09032,0.00469,0.000438703,0.000438703,0.000438703
72,1042.17,0.55522,0.374,1.11155,0.02167,0.9992,1,0.995,0.88321,0.4289,0.24676,1.1006,0.00422,0.000424556,0.000424556,0.000424556
73,1056.2,0.55247,0.37481,1.11724,0.0223,0.99892,0.99944,0.995,0.88472,0.43155,0.2403,1.06505,0.00446,0.000410409,0.000410409,0.000410409
74,1070.12,0.55677,0.37405,1.12241,0.02282,0.99853,0.99957,0.995,0.88126,0.43508,0.23702,1.09594,0.00384,0.000396262,0.000396262,0.000396262
75,1084.07,0.55536,0.37541,1.11669,0.02148,0.99914,1,0.995,0.88486,0.43081,0.23761,1.09079,0.00389,0.000382115,0.000382115,0.000382115
76,1098.27,0.54368,0.36339,1.118,0.01963,0.99944,1,0.995,0.88148,0.44386,0.24013,1.09793,0.00524,0.000367967,0.000367967,0.000367967
77,1112.45,0.53414,0.35969,1.10533,0.02192,0.99874,1,0.995,0.87607,0.4367,0.24058,1.08917,0.0043,0.00035382,0.00035382,0.00035382
78,1126.97,0.53865,0.35823,1.113,0.02265,0.99886,1,0.995,0.88746,0.42441,0.2377,1.07493,0.00469,0.000339673,0.000339673,0.000339673
79,1141.12,0.53026,0.35923,1.10724,0.02004,0.99914,1,0.995,0.87627,0.44092,0.24337,1.08176,0.00421,0.000325526,0.000325526,0.000325526
80,1155.85,0.52525,0.35175,1.09054,0.01999,0.99934,0.99979,0.995,0.87644,0.43636,0.2404,1.09258,0.00369,0.000311379,0.000311379,0.000311379
81,1170.41,0.54698,0.36977,1.12626,0.02227,0.99894,0.99983,0.995,0.87788,0.42322,0.23176,1.09557,0.00394,0.000297232,0.000297232,0.000297232
82,1185.15,0.52948,0.35683,1.10241,0.02023,0.99953,1,0.995,0.8819,0.43566,0.23361,1.10316,0.00463,0.000283085,0.000283085,0.000283085
83,1199.31,0.51533,0.34896,1.08353,0.01907,0.99935,1,0.995,0.87471,0.42565,0.23296,1.07838,0.00396,0.000268938,0.000268938,0.000268938
84,1213.36,0.52705,0.35256,1.09589,0.01932,0.999,0.99975,0.995,0.88308,0.42212,0.2311,1.07046,0.0042,0.000254791,0.000254791,0.000254791
85,1227.48,0.52947,0.35662,1.11438,0.01876,0.99885,0.99962,0.995,0.88508,0.41324,0.22647,1.06236,0.00413,0.000240644,0.000240644,0.000240644
86,1241.68,0.52227,0.35507,1.09833,0.02158,0.9986,0.9996,0.995,0.8883,0.41795,0.226,1.06584,0.00404,0.000226497,0.000226497,0.000226497
87,1255.93,0.5149,0.34888,1.09295,0.01927,0.99862,0.99956,0.995,0.88492,0.4186,0.22926,1.06221,0.00383,0.000212349,0.000212349,0.000212349
88,1270.58,0.51848,0.35205,1.09745,0.01803,0.998,0.99947,0.995,0.87997,0.42516,0.22496,1.06854,0.00391,0.000198202,0.000198202,0.000198202
89,1285.23,0.50692,0.34876,1.07988,0.01974,0.99809,0.99952,0.995,0.88387,0.42003,0.22843,1.06821,0.00401,0.000184055,0.000184055,0.000184055
90,1299.92,0.50912,0.34494,1.07966,0.0189,0.99742,0.99945,0.995,0.88164,0.43018,0.23536,1.06886,0.00408,0.000169908,0.000169908,0.000169908
91,1356.4,0.37489,0.24785,1.04182,0.00942,0.99833,0.99954,0.995,0.88531,0.4284,0.22743,1.072,0.00377,0.000155761,0.000155761,0.000155761
92,1372.45,0.36686,0.24321,1.02438,0.00878,0.99864,0.99801,0.995,0.88583,0.43131,0.2279,1.0696,0.00388,0.000141614,0.000141614,0.000141614
93,1388.33,0.35913,0.23577,1.00916,0.00826,0.99848,0.99971,0.995,0.88907,0.42177,0.22255,1.07591,0.0036,0.000127467,0.000127467,0.000127467
94,1404.46,0.36135,0.23611,1.01758,0.00916,0.9989,0.99986,0.995,0.88975,0.42012,0.21957,1.06142,0.00364,0.00011332,0.00011332,0.00011332
95,1420.6,0.34529,0.22858,1.00553,0.00775,0.99923,1,0.995,0.88424,0.41849,0.22866,1.06093,0.0034,9.91726e-05,9.91726e-05,9.91726e-05
96,1436.65,0.35728,0.23619,1.02016,0.0084,0.99916,1,0.995,0.88694,0.41841,0.22021,1.05751,0.0034,8.50255e-05,8.50255e-05,8.50255e-05
97,1453.06,0.34559,0.23188,0.993,0.00923,0.99906,1,0.995,0.88736,0.41741,0.21931,1.0594,0.00358,7.08784e-05,7.08784e-05,7.08784e-05
98,1469.61,0.34689,0.23089,0.99693,0.00819,0.999,1,0.995,0.88798,0.4202,0.21945,1.06401,0.00366,5.67313e-05,5.67313e-05,5.67313e-05
99,1486.02,0.34399,0.22906,0.99462,0.00759,0.99903,0.99999,0.995,0.88909,0.41867,0.21651,1.06064,0.00364,4.25842e-05,4.25842e-05,4.25842e-05
100,1502.56,0.34568,0.23123,1.00594,0.00744,0.99918,1,0.995,0.88635,0.41675,0.21426,1.06026,0.00364,2.84371e-05,2.84371e-05,2.84371e-05
