epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,188.266,1.30061,1.09476,2.32916,0.2343,0.95342,0.96497,0.995,0.74698,0.98517,0.60177,1.99964,0.19714,0.000919704,0.000919704,0.000919704
38,193.273,1.33346,1.13826,2.26588,0.2038,0.91945,0.94526,0.98767,0.77332,0.92082,0.5688,2.02069,0.16394,0.000905557,0.000905557,0.000905557
39,198.23,1.32463,1.09357,2.27956,0.20774,0.97767,0.93929,0.995,0.78472,0.82101,0.57285,1.91838,0.12392,0.00089141,0.00089141,0.00089141
40,203.22,1.40272,1.1183,2.35289,0.20108,0.89289,0.93003,0.97656,0.79558,0.75767,0.79685,1.82873,0.10894,0.000877263,0.000877263,0.000877263
41,208.204,1.32359,1.14436,2.32141,0.19502,0.91601,0.93564,0.97667,0.74735,0.92001,0.79869,1.97496,0.13111,0.000863116,0.000863116,0.000863116
42,213.173,1.32586,1.15854,2.32044,0.20921,0.96209,0.96762,0.995,0.75495,0.968,0.92091,2.01234,0.14023,0.000848969,0.000848969,0.000848969
43,218.102,1.31756,1.07025,2.27705,0.23324,0.9581,0.9706,0.995,0.79385,0.90526,0.80538,1.98793,0.10748,0.000834822,0.000834822,0.000834822
44,223.016,1.34355,1.12783,2.31624,0.21419,0.90063,0.89579,0.97211,0.76811,0.84079,0.89999,1.90575,0.1248,0.000820675,0.000820675,0.000820675
45,227.97,1.31233,1.06337,2.33239,0.21124,0.97916,0.91796,0.98894,0.82189,0.66444,0.73054,1.80209,0.07316,0.000806528,0.000806528,0.000806528
46,232.932,1.28335,1.08636,2.2562,0.18999,0.97272,0.96667,0.99197,0.82548,0.7566,0.53756,1.79666,0.07049,0.00079238,0.00079238,0.00079238
47,237.906,1.32305,1.04961,2.28218,0.21324,0.84688,0.9507,0.97985,0.75605,0.89444,0.70509,1.87423,0.11414,0.000778233,0.000778233,0.000778233
48,242.878,1.30759,1.07698,2.3069,0.21209,0.8264,0.9546,0.96348,0.75696,0.78507,0.64229,1.81024,0.13846,0.000764086,0.000764086,0.000764086
49,247.791,1.26593,1.09225,2.25541,0.20279,0.90404,0.9375,0.95341,0.7391,0.89613,0.62676,1.91066,0.11867,0.000749939,0.000749939,0.000749939
50,252.745,1.27771,1.06758,2.23592,0.19987,0.87974,0.92593,0.96305,0.74471,0.92574,0.64687,2.03256,0.13632,0.000735792,0.000735792,0.000735792
51,257.634,1.27826,1.07571,2.29654,0.19028,0.89842,1,0.9883,0.76718,0.84758,0.5381,1.92492,0.12909,0.000721645,0.000721645,0.000721645
52,262.575,1.20793,1.02779,2.15463,0.17203,0.96201,0.96875,0.995,0.77661,0.82165,0.46518,1.92547,0.11689,0.000707498,0.000707498,0.000707498
53,267.485,1.19464,0.94977,2.17139,0.19873,0.97851,0.98572,0.995,0.73175,0.99086,0.48965,2.03786,0.15431,0.000693351,0.000693351,0.000693351
54,272.434,1.21653,1.03109,2.15696,0.17032,0.90343,0.99472,0.98224,0.76905,0.79864,0.48725,1.87223,0.10109,0.000679204,0.000679204,0.000679204
55,277.325,1.22041,1.00965,2.16584,0.18075,0.83426,0.9597,0.9773,0.74109,0.891,0.61134,1.95063,0.08516,0.000665057,0.000665057,0.000665057
56,282.256,1.21681,1.01363,2.1903,0.17881,0.95684,0.96984,0.995,0.7645,0.94729,0.51348,2.09991,0.12337,0.000650909,0.000650909,0.000650909
57,287.706,1.16059,0.97522,2.12036,0.15554,0.97283,1,0.995,0.75376,0.96252,0.52284,2.02545,0.16703,0.000636762,0.000636762,0.000636762
58,293.35,1.2105,0.98923,2.16,0.19939,0.98,0.9732,0.995,0.78353,0.87907,0.50916,1.91441,0.09442,0.000622615,0.000622615,0.000622615
59,298.345,1.20726,1.03438,2.15132,0.17933,0.92626,1,0.995,0.78872,0.83085,0.51168,1.87753,0.09765,0.000608468,0.000608468,0.000608468
60,303.467,1.18758,1.00515,2.1475,0.17514,0.83277,0.9408,0.9883,0.77706,0.81312,0.60341,1.87083,0.09226,0.000594321,0.000594321,0.000594321
61,308.664,1.14539,1.01371,2.09125,0.15992,0.94108,0.9462,0.99133,0.80316,0.77959,0.52815,1.83004,0.0734,0.000580174,0.000580174,0.000580174
62,313.889,1.2003,1.01923,2.19783,0.17449,0.94154,0.94272,0.9883,0.79394,0.79231,0.48492,1.89679,0.08794,0.000566027,0.000566027,0.000566027
63,318.971,1.15664,0.9523,2.08118,0.15753,0.92149,0.94542,0.98227,0.7796,0.82724,0.52611,1.90465,0.12767,0.00055188,0.00055188,0.00055188
