epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,575.741,0.79783,0.50406,1.26852,0.02998,0.99178,1,0.995,0.8159,0.6776,0.34345,1.24643,0.01299,0.00105638,0.00105638,0.00105638
39,589.737,0.7762,0.48965,1.25781,0.03032,0.99149,1,0.99492,0.82468,0.67301,0.3329,1.23187,0.00892,0.00103987,0.00103987,0.00103987
40,606.021,0.77396,0.47582,1.27048,0.03023,0.9993,1,0.995,0.82097,0.65377,0.3356,1.19497,0.01006,0.00102337,0.00102337,0.00102337
41,622.888,0.78971,0.49922,1.29451,0.03135,0.97155,1,0.98936,0.8146,0.67769,0.36503,1.23258,0.01446,0.00100687,0.00100687,0.00100687
42,639.271,0.78741,0.51051,1.29923,0.02874,0.99141,1,0.995,0.83547,0.62373,0.33868,1.17667,0.0085,0.000990365,0.000990365,0.000990365
43,655.923,0.77316,0.48022,1.25177,0.02941,0.99805,1,0.995,0.8377,0.64395,0.32135,1.21491,0.01054,0.000973861,0.000973861,0.000973861
44,672.677,0.75125,0.46361,1.24712,0.0284,0.99693,1,0.995,0.83806,0.64513,0.32246,1.20866,0.01027,0.000957358,0.000957358,0.000957358
45,689.096,0.73529,0.4641,1.23642,0.02779,0.99647,1,0.995,0.84591,0.63085,0.33112,1.19986,0.0095,0.000940855,0.000940855,0.000940855
46,705.586,0.75755,0.48082,1.25353,0.02698,0.99683,0.99373,0.995,0.83494,0.67013,0.34217,1.28426,0.01223,0.000924352,0.000924352,0.000924352
47,722.222,0.74861,0.45319,1.23974,0.03036,0.9917,0.9988,0.995,0.85,0.64446,0.34005,1.20882,0.01311,0.000907848,0.000907848,0.000907848
48,738.651,0.74974,0.47117,1.23842,0.03318,0.99609,1,0.995,0.85865,0.6212,0.30487,1.20727,0.007,0.000891345,0.000891345,0.000891345
49,755.034,0.74346,0.45263,1.2419,0.02693,0.99921,1,0.995,0.8405,0.63566,0.33022,1.21908,0.01097,0.000874842,0.000874842,0.000874842
50,771.579,0.72837,0.45408,1.2367,0.02553,0.9989,1,0.995,0.825,0.64912,0.32521,1.24191,0.01228,0.000858338,0.000858338,0.000858338
51,788.241,0.74867,0.47729,1.24563,0.03017,0.99621,1,0.995,0.84572,0.61436,0.31604,1.20643,0.01015,0.000841835,0.000841835,0.000841835
52,804.933,0.76507,0.47802,1.24001,0.02676,0.99941,1,0.995,0.85257,0.64428,0.32283,1.22256,0.00739,0.000825332,0.000825332,0.000825332
53,821.196,0.71376,0.45019,1.19938,0.02701,0.99951,1,0.995,0.84311,0.61651,0.31028,1.18743,0.01277,0.000808828,0.000808828,0.000808828
54,837.532,0.72108,0.46044,1.21248,0.02638,0.99683,1,0.995,0.85512,0.57658,0.28981,1.15161,0.0099,0.000792325,0.000792325,0.000792325
55,854.3,0.70079,0.43305,1.2083,0.02727,0.99908,1,0.995,0.8283,0.62277,0.31603,1.18184,0.00849,0.000775822,0.000775822,0.000775822
56,870.681,0.71014,0.448,1.21615,0.02722,0.99915,1,0.995,0.84588,0.60844,0.30355,1.19593,0.0067,0.000759318,0.000759318,0.000759318
57,886.188,0.70742,0.43849,1.20528,0.02314,0.99628,1,0.995,0.83845,0.62439,0.29427,1.21341,0.01461,0.000742815,0.000742815,0.000742815
58,900.143,0.68168,0.41231,1.18359,0.02287,0.98312,1,0.99357,0.83307,0.6295,0.34519,1.20892,0.01221,0.000726312,0.000726312,0.000726312
59,915.288,0.71234,0.44982,1.19444,0.02244,0.99697,0.9918,0.99,0.84455,0.61234,0.30474,1.20439,0.00728,0.000709809,0.000709809,0.000709809
60,931.438,0.70152,0.42844,1.21744,0.02495,0.99754,0.9918,0.99477,0.85425,0.58318,0.29201,1.19747,0.00809,0.000693305,0.000693305,0.000693305
61,947.513,0.68639,0.43394,1.19242,0.02558,0.99987,1,0.995,0.8628,0.58954,0.30438,1.19014,0.00611,0.000676802,0.000676802,0.000676802
62,962.567,0.69061,0.43742,1.16538,0.02346,0.99654,1,0.995,0.85522,0.59582,0.29403,1.20001,0.00654,0.000660299,0.000660299,0.000660299
63,977.654,0.68939,0.4274,1.20898,0.02408,0.99789,1,0.995,0.85041,0.59886,0.29071,1.19069,0.00589,0.000643795,0.000643795,0.000643795
64,992.051,0.69223,0.4374,1.17668,0.02289,0.99706,1,0.995,0.84638,0.59193,0.29935,1.20111,0.00978,0.000627292,0.000627292,0.000627292
65,1006.34,0.67776,0.42295,1.20616,0.02634,0.99938,1,0.995,0.85547,0.58591,0.29319,1.17232,0.0064,0.000610789,0.000610789,0.000610789
66,1020.26,0.66244,0.41646,1.17366,0.02551,0.99636,1,0.995,0.85947,0.598,0.29499,1.1711,0.0072,0.000594286,0.000594286,0.000594286
67,1034.2,0.66962,0.42056,1.1653,0.02227,0.99937,1,0.995,0.85004,0.60259,0.28682,1.21232,0.00639,0.000577782,0.000577782,0.000577782
